            commando  0.1
97              1660    2
609             lost    2
95               top    2
611         children    2
55           routine    2
665           voices    2
41          position    2
94           culture    2
40         substance    2
614            enter    2
668            tribe    2
16         efficient    2
669         maritime    2
616        aftermath    2
617       attraction    2
61         desperate    2
578             stem    2
690          contain    2
534      consequence    2
123             sign    2
303      countryside    2
297            ideas    2
296            roman    2
295              ray    2
294           fossil    2
293             self    2
291             boom    2
289        accepting    2
286         hardship    2
431      influential    2
285           motion    2
278      grandfather    2
277         squadron    2
418           cement    2
438           legacy    2
264         november    2
449          malcolm    2
257     associations    2
254        recalling    2
455          trained    2
252             sort    2
250        collision    2
460           trades    2
463       boundaries    2
246              job    2
244            welsh    2
467          minimal    2
243           levels    2
268         shipping    2
240         robinson    2
304        surrender    2
307          natural    2
367             arab    2
352              ads    2
350        territory    2
371        household    2
347          origins    2
374      confederate    2
376       invitation    2
377          prevent    2
379      mountainous    2
380           rights    2
343             gulf    2
384             peak    2
339     relationship    2
306             team    2
387       washington    2
326          doubles    2
325           depart    2
324        buildings    2
398          solomon    2
400      illustrated    2
321             lama    2
317              lay    2
404            teams    2
406            north    2
409         goodwill    2
311             tone    2
309            skill    2
412          library    2
336            toxic    2
471          harvard    2
473         stressed    2
236       perception    2
173             must    2
530            lower    2
533          innings    2
362              sun    2
170             york    2
167       appreciate    2
539           police    2
541           spying    2
165         russians    2
159         weakness    2
158             beat    2
547          couples    2
157            earth    2
527          offense    2
153           behave    2
555         contract    2
556         dropping    2
140          turning    2
137             hope    2
563             idea    2
564        suspended    2
565          discuss    2
567             foes    2
130        detection    2
129           flying    2
127             ruin    2
573               we    2
574        listening    2
144      encouraging    2
526            elder    2
175              key    2
523             open    2
232              ran    2
231         collapse    2
230        educating    2
483          extreme    2
221          picking    2
485           saying    2
220            index    2
488           loving    2
217         approach    2
216             pose    2
211         document    2
494           single    2
209          slammed    2
208             spur    2
207         elevated    2
206          journal    2
499         benefits    2
204         assembly    2
501            spent    2
201         infantry    2
200         umbrella    2
195             gold    2
510            actor    2
191       connection    2
190            karen    2
515           threat    2
516          writing    2
187             mild    2
183           danger    2
122         pictures    2
353       retreating    2
